m64266e_220811_171400/165610773/ccs	356
m64266e_220811_171400/143590969/ccs	448
m64266e_220811_171400/130811077/ccs	44
m64266e_220811_171400/148767654/ccs	44
m64266e_220811_171400/174129924/ccs	463
m64266e_220811_171400/4851644/ccs	424
m64266e_220811_171400/168299030/ccs	354
m64266e_220811_171400/55182303/ccs	43
m64266e_220811_171400/34145597/ccs	14
m64266e_220811_171400/138742040/ccs	49
m64266e_220811_171400/132384403/ccs	12
m64266e_220811_171400/117965554/ccs	0
m64266e_220811_171400/160106238/ccs	2
m64266e_220811_171400/13567841/ccs	7
m64266e_220811_171400/44302473/ccs	38
m64266e_220811_171400/101911104/ccs	73
m64266e_220811_171400/167577904/ccs	8
m64266e_220811_171400/124717448/ccs	3
m64266e_220811_171400/109642310/ccs	4
m64266e_220811_171400/69274203/ccs	19
m64266e_220811_171400/106694656/ccs	3
m64266e_220811_171400/36635514/ccs	4
m64266e_220811_171400/34407699/ccs	5
m64266e_220811_171400/70780174/ccs	2
m64266e_220811_171400/151783114/ccs	4
m64266e_220811_171400/78383666/ccs	5
m64266e_220811_171400/126485221/ccs	1
m64266e_220811_171400/152504642/ccs	0
m64266e_220811_171400/109184720/ccs	1
m64266e_220811_171400/77070911/ccs	8
m64266e_220811_171400/54265768/ccs	108
m64266e_220811_171400/156240709/ccs	6
m64266e_220811_171400/144705566/ccs	51
m64266e_220811_171400/174000981/ccs	15
m64266e_220811_171400/136118940/ccs	13
m64266e_220811_171400/179896733/ccs	0
m64266e_220811_171400/121374299/ccs	6
m64266e_220811_171400/88081062/ccs	21
m64266e_220811_171400/138151103/ccs	2
m64266e_220811_171400/116721243/ccs	51
m64266e_220811_171400/33819164/ccs	28
m64266e_220811_171400/156434672/ccs	3
m64266e_220811_171400/164365105/ccs	2
m64266e_220811_171400/137626921/ccs	62
m64266e_220811_171400/160696040/ccs	3
m64266e_220811_171400/77398993/ccs	36
m64266e_220811_171400/147654363/ccs	0
m64266e_220811_171400/63440515/ccs	40
m64266e_220811_171400/136841349/ccs	17
m64266e_220811_171400/69405440/ccs	12
m64266e_220811_171400/144572907/ccs	24
m64266e_220811_171400/45157010/ccs	1
m64266e_220811_171400/105384147/ccs	0
m64266e_220811_171400/162792098/ccs	93
m64266e_220811_171400/112132190/ccs	0
m64266e_220811_171400/7537936/ccs	114
m64266e_220811_171400/170132317/ccs	88
m64266e_220811_171400/23921575/ccs	105
m64266e_220811_171400/97847675/ccs	1
m64266e_220811_171400/23987950/ccs	7
m64266e_220811_171400/47123281/ccs	46
m64266e_220811_171400/52167714/ccs	44
m64266e_220811_171400/73271228/ccs	102
m64266e_220811_171400/57149503/ccs	10
m64266e_220811_171400/45875616/ccs	2
m64266e_220811_171400/155648909/ccs	79
m64266e_220811_171400/42206761/ccs	4
m64266e_220811_171400/44105856/ccs	130
m64266e_220811_171400/14026527/ccs	151
m64266e_220811_171400/58720817/ccs	1
m64266e_220811_171400/19204360/ccs	40
m64266e_220811_171400/113246720/ccs	20
m64266e_220811_171400/108004029/ccs	3
m64266e_220811_171400/98502458/ccs	59
m64266e_220811_171400/29689289/ccs	45
m64266e_220811_171400/52233195/ccs	61
m64266e_220811_171400/62785420/ccs	75
m64266e_220811_171400/162202610/ccs	4
m64266e_220811_171400/14222931/ccs	13
m64266e_220811_171400/13303930/ccs	28
m64266e_220811_171400/74451765/ccs	15
m64266e_220811_171400/36702455/ccs	2
m64266e_220811_171400/13633540/ccs	16
m64266e_220811_171400/120717616/ccs	108
m64266e_220811_171400/82577001/ccs	1
m64266e_220811_171400/28575629/ccs	1
m64266e_220811_171400/144180593/ccs	0
m64266e_220811_171400/29556905/ccs	41
m64266e_220811_171400/65472913/ccs	7
m64266e_220811_171400/93718375/ccs	4
m64266e_220811_171400/87819655/ccs	155
m64266e_220811_171400/79430976/ccs	114
m64266e_220811_171400/88998676/ccs	8
m64266e_220811_171400/135268626/ccs	6
m64266e_220811_171400/31917362/ccs	58
m64266e_220811_171400/111870371/ccs	180
m64266e_220811_171400/140772325/ccs	24
m64266e_220811_171400/66456243/ccs	184
m64266e_220811_171400/31588961/ccs	1
m64266e_220811_171400/54462034/ccs	7
m64266e_220811_171400/151456226/ccs	5
m64266e_220811_171400/45286379/ccs	3
m64266e_220811_171400/109445767/ccs	51
m64266e_220811_171400/109316832/ccs	3
m64266e_220811_171400/162531042/ccs	0
m64266e_220811_171400/54264071/ccs	0
m64266e_220811_171400/67241252/ccs	18
m64266e_220811_171400/78381671/ccs	3
m64266e_220811_171400/143526388/ccs	2
m64266e_220811_171400/17696332/ccs	6
m64266e_220811_171400/85068613/ccs	1
m64266e_220811_171400/30540445/ccs	0
m64266e_220811_171400/71435657/ccs	7
m64266e_220811_171400/139985273/ccs	23
m64266e_220811_171400/75368419/ccs	5
m64266e_220811_171400/172689422/ccs	6
m64266e_220811_171400/40044415/ccs	6
m64266e_220811_171400/27918956/ccs	8
m64266e_220811_171400/5439619/ccs	0
m64266e_220811_171400/20777475/ccs	0
m64266e_220811_171400/102629981/ccs	22
m64266e_220811_171400/80675147/ccs	5
m64266e_220811_171400/89720255/ccs	8
m64266e_220811_171400/100272352/ccs	9
m64266e_220811_171400/1770043/ccs	5
m64266e_220811_171400/65341407/ccs	0
m64266e_220811_171400/123863739/ccs	0
m64266e_220811_171400/95028600/ccs	241
m64266e_220811_171400/22087128/ccs	629
m64266e_220811_171400/28641847/ccs	1
m64266e_220811_171400/131073301/ccs	568
m64266e_220811_171400/164955207/ccs	2
m64266e_220811_171400/77923858/ccs	585
m64266e_220811_171400/45483890/ccs	689
m64266e_220811_171400/95289896/ccs	689
m64266e_220811_171400/27723143/ccs	1106
m64266e_220811_171400/16385974/ccs	1306
m64266e_220811_171400/145558231/ccs	16
m64266e_220811_171400/163906213/ccs	1035
m64266e_220811_171400/30410305/ccs	12
m64266e_220811_171400/96469047/ccs	452
m64266e_220811_171400/154075272/ccs	1918
m64266e_220811_171400/133040745/ccs	515
m64266e_220811_171400/71698520/ccs	340
m64266e_220811_171400/37815036/ccs	501
m64266e_220811_171400/79759178/ccs	152
m64266e_220811_171400/26346011/ccs	477
m64266e_220811_171400/83821466/ccs	473
m64266e_220811_171400/83559830/ccs	3
m64266e_220811_171400/151913319/ccs	961
m64266e_220811_171400/42402658/ccs	23
m64266e_220811_171400/155585312/ccs	548
m64266e_220811_171400/88866965/ccs	494
m64266e_220811_171400/72157000/ccs	0
m64266e_220811_171400/1771436/ccs	471
m64266e_220811_171400/46530737/ccs	46
m64266e_220811_171400/98174425/ccs	2
m64266e_220811_171400/111149767/ccs	17
m64266e_220811_171400/58985128/ccs	124
m64266e_220811_171400/163842887/ccs	16
m64266e_220811_171400/122160488/ccs	10
m64266e_220811_171400/197089/ccs	1134
m64266e_220811_171400/179111748/ccs	1157
m64266e_220811_171400/86574753/ccs	31
m64266e_220811_171400/161022206/ccs	2
